"Time","PaddleOCR","Docling","EasyOCR","Qwen VL","Surya OCR","Tesseract OCR"
"2021-04-01",1,0,2,0,0,13
"2021-05-01",1,0,2,0,0,14
"2021-06-01",1,0,2,0,0,14
"2021-07-01",2,0,3,0,0,12
"2021-08-01",2,0,2,0,0,12
"2021-09-01",2,0,3,0,0,12
"2021-10-01",2,0,3,0,0,12
"2021-11-01",2,0,4,0,0,12
"2021-12-01",2,0,4,0,0,13
"2022-01-01",2,0,5,0,0,15
"2022-02-01",3,0,5,0,0,18
"2022-03-01",3,0,6,0,0,20
"2022-04-01",3,0,7,0,0,19
"2022-05-01",3,0,6,0,0,18
"2022-06-01",4,0,6,0,0,19
"2022-07-01",5,0,6,0,0,17
"2022-08-01",5,0,6,0,0,17
"2022-09-01",5,0,5,0,0,16
"2022-10-01",5,0,5,0,0,17
"2022-11-01",6,0,7,0,0,17
"2022-12-01",5,0,5,0,0,15
"2023-01-01",5,0,6,0,0,19
"2023-02-01",6,0,8,0,0,22
"2023-03-01",6,0,7,0,0,25
"2023-04-01",6,0,7,0,0,23
"2023-05-01",6,0,8,0,0,23
"2023-06-01",8,0,8,0,0,23
"2023-07-01",8,0,8,0,0,22
"2023-08-01",8,0,9,1,0,21
"2023-09-01",7,0,8,1,0,22
"2023-10-01",8,0,8,0,0,23
"2023-11-01",8,0,8,1,0,25
"2023-12-01",8,0,8,1,0,23
"2024-01-01",8,0,10,1,0,28
"2024-02-01",9,0,10,2,0,32
"2024-03-01",11,0,10,2,0,28
"2024-04-01",11,0,11,2,1,29
"2024-05-01",10,0,11,2,1,30
"2024-06-01",11,0,11,2,1,28
"2024-07-01",13,0,11,2,1,30
"2024-08-01",12,0,10,2,1,27
"2024-09-01",10,0,10,6,1,29
"2024-10-01",11,0,10,5,2,28
"2024-11-01",11,0,12,5,2,33
"2024-12-01",11,0,11,5,2,35
"2025-01-01",13,0,13,11,2,34
"2025-02-01",15,0,13,21,2,42
"2025-03-01",16,0,13,18,2,42
"2025-04-01",16,0,12,15,1,34
"2025-05-01",18,0,12,15,2,35
"2025-06-01",24,0,14,15,2,40
"2025-07-01",27,0,14,18,1,41
"2025-08-01",100,0,25,25,6,73
"2025-09-01",79,0,22,26,4,78
"2025-10-01",88,8,21,33,4,69
"2025-11-01",87,35,22,31,4,96
"2025-12-01",91,0,21,28,5,77
"2026-01-01",78,0,21,27,4,59
"2026-02-01",92,1,27,26,6,73
"2026-03-01",95,0,28,29,9,86